BSD,ID BSD,GeoServer,ID GeoServer
SCAN EXPRESS 25 : AQUITAINE,3736,IGN - Scan 25 Express,CoverageInfoImpl-35aed7c:1543cfbf519:-232b
PREINVENTAIRE DES ESPACES NATURELS HUMIDES - PRINCIPAUX AFFLUENTS DRONNE MOYENNE,3760,SMEAP - Préinventaire des espaces naturels humides dans les vallées des principaux affluents de la Dronne moyenne,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7db4
ASSAINISSEMENT COLLECTIF : CANALISATION ASSAINISSEMENT COLLECTIF,1671,SIAEP LALINDE - Canalisation assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-52db
PLR - PLAN LOCAL RANDONNEE : LIAISONS ENTRE SENTIERS,2097,CG 64 - Liaisons entre sentiers du Plan Local de Randonnées,FeatureTypeInfoImpl-1efb5ae3:137edde9d3f:-6e8d
SRCE / TRAME BLEUE : COURS D'EAU TRES BON ETAT (LEMA),2654,SRCE - EF Obstacles sur les cours d'eau de la Trame bleue,FeatureTypeInfoImpl--1349261:1431092c4c4:6d3f
DICTIONNAIRE : PLR - PLAN LOCAL RANDONNEE : LIAISONS ENTRE SENTIERS,3941,CG 64 - Liaisons entre sentiers du Plan Local de Randonnées,FeatureTypeInfoImpl-1efb5ae3:137edde9d3f:-6e8d
PREINVENTAIRE DES ESPACES NATURELS HUMIDES - VALLEE MOYENNE DE LA DRONNE,3759,SMEAP - Préinventaire des espaces naturels humides dans la vallée moyenne de la Dronne,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7db0
PART DES ACTIFS OCCUPES TRAVAILLANT HORS COMMUNE RESIDENCE 2009,2027,PIGMA - Part des actifs occupés 15 ans et plus travaillant hors de leurs communes de résidence en 2009,FeatureTypeInfoImpl-2af25b80:13ab1de8d76:-6cf0
ORTHO LITTORALE V2 IRC,3332,MEDDE - Ortho littorale V2 IRC 2012,CoverageInfoImpl--33872947:13d58ed80b2:-21ec
ORTHO LITTORALE V2 COULEUR,3473,MEDDE - Ortho littorale V2 couleur 2012,CoverageInfoImpl--33872947:13d57644f6f:4228
TRONCONS NAVIGATION BD TOPO,772,PNR LG - Troncons de Navigation BD TOPO,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-6483
SRCE / ELEMENTS FRAGMENTANTS : COURS D'EAU,2627,SRCE - Elements fragmentants en cours,FeatureTypeInfoImpl-69ccb048:13b6ad6bb3a:-2da8
SRCE / MILIEUX SOUS TRAMES : MILIEUX HUMIDES,2649,SRCE - Co Milieux humides,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d9
ZONE DE REVITALISATION RURALE 2005,198,DDTM40 - Zone de revitalisation rurale 2005,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d84
BD TOPO : AIRE DE TRIAGE,1775,IGN BD TOPO - Aire de triage,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e32
BD TOPO : POINT D'EAU SERVANT A L'AEP,1823,IGN BD TOPO - Point d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e68
BD TOPO : CONSTRUCTION PONCTUELLE DE GRANDE HAUTEUR,1787,IGN BD TOPO - Construction ponctuelle,FeatureTypeInfoImpl--3a85bcf:132cf3d3d67:-7b07
BD ORTHO INFRA-ROUGE COULEUR 2009 : AQUITAINE,3742,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
EMISSIONS DE GES - SCOPES 1 ET 2,3359,Emissions des Scopes 1 et 2 en 2012,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-593a
PLAN DE SAUVEGARDE ET DE MISE EN VALEUR (PSMV),623,DRAC - Plan de sauvegarde et de mise en valeur,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f6b
APPAREIL DE COUPURE AERIEN MOYENNE TENSION,1290,ERDF - Appareil de coupure aérien moyenne tension,FeatureTypeInfoImpl--433409c9:133c599c9af:-7cf8
PSMV - PLAN DE SAUVEGARDE ET DE MISE EN VALEUR : 24,1962,DRAC - Plan de sauvegarde et de mise en valeur,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f6b
PSMV - PLAN DE SAUVEGARDE ET DE MISE EN VALEUR : 33,1963,DRAC - Plan de sauvegarde et de mise en valeur,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f6b
PSMV - PLAN DE SAUVEGARDE ET DE MISE EN VALEUR : 47,1964,DRAC - Plan de sauvegarde et de mise en valeur,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f6b
TRI - TERRITOIRES A RISQUE IMPORTANT INONDATION,3281,DREAL - Territoires à Risque important Inondation,FeatureTypeInfoImpl-1b06dd87:1420dc1a615:17e9
BD ORTHO INFRA-ROUGE COULEUR 2012 : AQUITAINE,3743,BD ORTHO 2012 - Aquitaine tiff,CoverageInfoImpl-5aa6b02d:15a28b81ef7:3f4c
GIRONDE : PLAN COMMUNAL DE SAUVEGARDE (PCS),4352,DGPR - Plan Communal de Sauvegarde (PCS),FeatureTypeInfoImpl--2fa2561a:14fa7e9d44a:-6969
APPAREIL DE COUPURE SOUTERRAIN MOYENNE TENSION,3592,ERDF - Appareil de coupure sous terrain moyenne tension,FeatureTypeInfoImpl--433409c9:133c599c9af:-7d2e
SRCE / RUPTURES CORRIDORS : MILIEUX OUVERTS,2638,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
TRAFIC ROUTIER : TRAFIC COMPTAGES CUB 2010-2014,3769,DREAL - Trafic comptages CUB de 2010 à 2014,FeatureTypeInfoImpl-69be8d:14eba61c107:3850
SRCE / RUPTURES CORRIDORS : MILIEUX OUVERTS HYDRO,2637,SRCE - Corridors milieux ouverts à retirer - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58aa
PART DES ACTIFS 15-24 ANS DS POP DES 15-64 ANS,2049,PIGMA - Part des actifs 15-24 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-58f4
PART DES ACTIFS 25-54 ANS DS POP DES 15-64 ANS,2050,PIGMA - Part des actifs 25-54 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-19e7
PART DES ACTIFS 55-64 ANS DS POP DES 15-64 ANS,2051,PIGMA - Part des actifs 55-64 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-21aa
SRCE / TAMPONS CORRIDORS 1 KM : MILIEUX OUVERTS,2643,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
SRCE / MILIEUX SOUS TRAMES : MILIEUX OUVERTS,2650,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
PART DES ACTIFS 15-64 ANS DS POP TOTALE,2045,PIGMA - Part des actifs 15-64 ans / population totale en 2009,FeatureTypeInfoImpl-43d64256:13adb3c847f:-fff
RECENSEMENT AGRICOLE ENTRE 2000 ET 2010,3755,EHLG_Referenciel agricole sur le Pays Basque entre 2000 et 2010,FeatureTypeInfoImpl-223d3190:153141fe3c0:-3923
ETALAB : ZONES HUMIDES 1990 / ZONES HUMIDES 2000,2762,SMBV des Lacs du Born - Zones humides prioritaires,FeatureTypeInfoImpl--3cb9736d:15607db193b:-378b
PART DES ACTIFS OCCUPES TRAVAILLANT HORS COMMUNE RESIDENCE 2007,2999,PIGMA - Part des actifs occupés 15 ans et plus travaillant hors de leurs communes de résidence en 2009,FeatureTypeInfoImpl-2af25b80:13ab1de8d76:-6cf0
RECENSEMENT AGRICOLE 2000 + RECENSEMENT AGRICOLE 2010,601,EHLG_Referenciel agricole sur le Pays Basque entre 2000 et 2010,FeatureTypeInfoImpl-223d3190:153141fe3c0:-3923
ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES ZONES POTENTIELLES DE POSE DES HYDROLIENNES SUR LA GARONNE,3154,CR Aqutaine - Zones pose Garonne - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-2913d3a8:14ae7b6672d:32c7
ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES POINTS DE POSE (HORS CEL) DE L'EOLIEN POSE,3150,CR Aqutaine - Points pose Estuaire Adour - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-2913d3a8:14ae788d65c:71c
ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (POINTS DE POSE POTENTIELS SUR L'ESTUAIRE DE LA GIRONDE),3164,CR Aqutaine - Zones pose Garonne - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-2913d3a8:14ae7b6672d:32c7
BD TOPO : BATIMENTS,16,IGN BD TOPO - Batiments (enseignement),FeatureTypeInfoImpl--47a78624:139dea10bac:-6e38
ATLAS ZONES INONDABLES,214,DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7
CENTRES D'INFORMATION JEUNESSE,3317,Pays du Grand Bergeracois - Centres d'Information Jeunesse,FeatureTypeInfoImpl--6dc8b695:14931bae555:-127b
PLAN D'EAU DOUCE,955,DDTM40 - Emprise d'un plan d'eau douce,FeatureTypeInfoImpl-2fa548b8:13291b4bfc7:-7835
BD PARCELLAIRE : GIRONDE,1109,BD Parcellaire Gironde : localisants avec fichiers majic 2012,FeatureTypeInfoImpl-4d4cdcbb:1391db5d845:-7659
BD PARCELLAIRE : LANDES,1112,BD Parcellaire Landes avec fichiers majic 2011 et 2012,FeatureTypeInfoImpl-722cc45b:138dd70a3c1:3949
BASE DILA (DIRECTION DE L'INFORMATION LEGALE ET ADMINISTRATIVE) : CO-MARQUAGE DES SERVICES PUBLICS,1196,DILA - Services publics,FeatureTypeInfoImpl--14a5fc34:134d6347150:-7d52
THD ZONES BLANCHES,1549,CR Aqutaine - THD Zones blanches,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77c7
ASSAINISSEMENT COLLECTIF : REGARD,1673,SIAEP LALINDE - Regard assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4daf
CARROYAGE POPULATION 200M,2057,INSEE - Densité population carroyage 200m,FeatureTypeInfoImpl--6dc19e29:136a16cf456:-7ea
PLU ZONAGE MONTESQUIEU,2602,CDC Val d'Albret - Zonage PLU de Montesquieu,FeatureTypeInfoImpl--3ce68516:141a7a870c9:-23fb
POS ZONAGE VIANNE,2604,CDC Val d'Albret - Zonage POS de Vianne,FeatureTypeInfoImpl--3ce68516:141a7a870c9:-23f7
SRCE / CORRIDORS OUVERTS,2625,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
SRCE / ELEMENTS FRAGMENTANTS,2626,SRCE - Elements fragmentants en cours,FeatureTypeInfoImpl-69ccb048:13b6ad6bb3a:-2da8
SRCE / PASSAGES FAUNE,2628,SRCE - Passages à faune - sept 2012,FeatureTypeInfoImpl--756c3c78:13afcdc327f:-22ff
SRCE / RUPTURES CORRIDORS : MILIEUX HUMIDES HYDRO,2635,SRCE - Co Milieux humides,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d9
SRCE / RUPTURES CORRIDORS : MILIEUX HUMIDES,2636,SRCE - Co Milieux humides,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d9
SRCE / TAMPONS CORRIDORS 1 KM : MILIEUX HUMIDES,2642,SRCE - Co Milieux humides,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d9
SRCE / TRAME VERTE : RESERVOIRS OBLIGATOIRES - MILIEUX HUMIDES,2658,SRCE - Co Milieux humides,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d9
SRCE / ZONES CENTRALES : MILIEUX HUMIDES,2677,SRCE - Co Milieux humides,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d9
PAI : ADMINISTRATIF MILITAIRE,3206,IGN BD TOPO - PAI administratif et militaire,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8e
PAI : CULTURE LOISIRS,3207,IGN BD TOPO - PAI culture loisirs,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e7a
PAI : ESPACE NATUREL,3208,IGN BD TOPO - PAI espace naturel,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e82
PAI : GESTION EAUX,3209,IGN BD TOPO - PAI gestion eaux,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e86
PAI : ZONE HABITATION,3216,IGN BD TOPO - PAI zone habitation,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e7e
ORTHO IRC 2012,3283,MEDDE - Ortho littorale V2 IRC 2012,CoverageInfoImpl--33872947:13d58ed80b2:-21ec
BD ORTHO 5M - 2015 : EX-AQUITAINE,3356,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
PAI : INDUSTRIEL ET COMMERCIAL,3397,IGN BD TOPO - PAI industriel commercial,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e84
PAI : SCIENCE ET ENSEIGNEMENT,3398,IGN BD TOPO - PAI science enseignement,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e74
PLAN SIMPLE DE GESTION,935,DDT 24 - Propriétés couvertes par un Plan Simple de Gestion,FeatureTypeInfoImpl-7a7bae0a:141b772d55a:182e
BD TOPO : T. ADMINISTRATIF,1059,IGN BD TOPO - PAI administratif et militaire,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8e
BD ORTHO 50CM 2015 : AQUITAINE,3244,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO 50CM 2015 : DORDOGNE,3252,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO 50CM 2015 : GIRONDE,3253,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO 50CM 2015 : LANDES,3254,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO 50CM 2015 : LOT-ET-GARONNE,3255,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO 50CM 2015 : PYRENEES-ATLANTIQUES,3256,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
NOUVELLE AQUITAINE : SCAN 1000® EXPRESS IGN,3888,IGN - Scan 25 Express,CoverageInfoImpl-35aed7c:1543cfbf519:-232b
NOUVELLE AQUITAINE : SCAN 250® EXPRESS IGN,3889,IGN - Scan 25 Express,CoverageInfoImpl-35aed7c:1543cfbf519:-232b
BD ORTHO IRC 50CM 2015 : GIRONDE,4459,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO IRC 50CM 2015 : LANDES,4460,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO IRC 50CM 2015 : DORDOGNE,4461,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO IRC 50CM 2015 : LOT-ET-GARONNE,4462,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
BD ORTHO IRC 50CM 2015 : PYRENEES-ATLANTIQUES,4463,BD ORTHO 47 - 2015,CoverageInfoImpl--4bbfe513:15789a5a242:1888
POINT DE PASSAGE SOUTERRAIN,4472,RTE - Point de passage souterrain,FeatureTypeInfoImpl--64db1a4f:15a8f5b7695:-418b
AIRE D'INTERVENTION DES EPTB,317,EPIDOR - Aire d'intervention des EPTB,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e0c
RESEAU FERRE - TRAFIC RAPIDE ET EXPRESS (RGI),725,RFF - Trafic rapide et express,FeatureTypeInfoImpl--60870653:141bc392aa4:-4ba3
ZONE REVITALISATION RURALE - ZRR,1325,DDTM40 - Zone de revitalisation rurale 2005,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d84
BD TOPO - EMPRISE : AQUITAINE,1708,IGN BD TOPO - Emprise,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e72
BD TOPO : OUVRAGE OU PARTIE DE CHAUSSEE DE GRANDE SURFACE,1819,IGN BD TOPO - Surface eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e6a
BD TOPO : SURFACE D'EAU,1828,IGN BD TOPO - Surface eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e6a
BRUIT FERROVIAIRE : ZONE CRITIQUE ZBC,3273,RFF - Zone de Bruit Critique,FeatureTypeInfoImpl--60870653:141bbafd8c4:-539b
SCAN EXPRESS 25 : AQUITAINE,3736,IGN - Scan 25 Express,CoverageInfoImpl-35aed7c:1543cfbf519:-232b
