Cartogip,ID Cartogip,GeoNetwork,ID GeoNetwork
erdf - Appareil de coupure sous terrain moyenne tension,1149,ERDF - Aquitaine: appareil de coupure sous terrain moyenne tension,e8421c89-84c3-4f54-89f2-7fe46779bce7
erdf - Réseau aérien moyenne tension (15KV - 20Kv),1162,ERDF - Aquitaine : Réseau aérien moyenne tension (15kv - 20kv),14dfaafe-a10e-4fd5-9f50-f88695745f2e
erdf - Réseau enterré moyenne tension (15KV - 20Kv),1164,ERDF - Aquitaine: Réseau enterré moyenne tension (15kv - 20kv),60a9f83b-89b2-4085-bfad-e137158a379a
erdf - Appareil de coupure aérien moyenne tension,416,ERDF - Aquitaine: Appareil de coupure aérien moyenne tension,dbaaa045-6e55-4835-ba5a-4ae2f5f95c8a
socio_economique - Part des actifs 15-64 ans par rapport à la population totale,464,GIP_INSEE - Aquitaine : Part des actifs 15-64 ans par rapport à la population totale,293399e8-f8b6-43f1-af9e-14014983de0c
tigf - Postes de sectionnement et robinets de sécurité (TIGF),438,TIGF - Aquitaine : Postes de sectionnement et Robinets de sécurité,c11b0c91-4081-4d47-ba01-1f781347c383
erdf - Réseau enterré basse tension <=400V,936,ERDF - Aquitaine: Réseau enterré basse tension (&lt;=400V),dfd3c5fe-7ab1-4a9a-8ad1-f59020d1a964
erdf - Réseau aérien basse tension <=400V,1161,ERDF - Aquitaine: Réseau aérien basse tension (&lt;=400V),c0109b4d-7e43-4371-b6e5-66e4e4cfba5f
socio_economique - Part des 15-24 ans dans la population totale,550,GIP_INSEE - Aquitaine : Part des 15-24 ans dans la population totale,f9081bc8-dbb9-4dcd-bd4f-346fd948bbec
socio_economique - Part des actifs de 25-54 ans par rapport à la population des 25-54 ans,574,GIP_INSEE - Aquitaine : Part des actifs 25-54 ans par rapport à la population des 25-54 ans,0ca5890b-47fd-4146-a02b-1b1803de5392
socio_economique - Part des 55-64 ans dans la population totale,699,GIP_INSEE - Aquitaine : Part des 55-64 ans dans la population totale,a88fbc0f-33db-4680-ba8e-178999706d37
socio_economique - Part des actifs de 25-54 ans par rapport aux actifs de 15-64 ans,744,GIP_INSEE - Aquitaine : Part des actifs 25-54 ans par rapport aux actifs de 15-64 ans,555c3378-5d6f-4b35-809b-117b659c29b0
socio_economique - Part des actifs de 55-64 ans par rapport à la population des 55-64 ans,784,GIP_INSEE - Aquitaine : Part des actifs 55-64 ans par rapport à la population des 55-64 ans,63828b6a-235e-4095-a9a6-e1ce550ef5a5
socio_economique - Part des actifs de 55-64 ans par rapport aux actifs de 15-64 ans,1016,GIP_INSEE - Aquitaine : Part des actifs 55-64 ans par rapport aux actifs de 15-64 ans,c86234e7-d0ab-450a-9b84-de4f193b6a53
socio_economique - Part des actifs de 15-24 ans par rapport à la population des 15-24 ans,1042,GIP_INSEE - Aquitaine : Part des actifs 15-24 ans par rapport à la population des 15-24 ans,a97f4ae7-c957-4684-8510-7dd1e9140021
socio_economique - Part des 25-54 ans dans la population totale,1043,GIP_INSEE - Aquitaine : Part des 25-54 ans dans la population totale,90f3a432-acb4-4e86-9c64-1f37de64445c
socio_economique - Part des actifs de 15-24 ans par rapport aux actifs de 15-64 ans,1018,GIP_INSEE - Aquitaine : Part des actifs 15-24 ans par rapport à la population active des 15-64 ans,50e6dd83-922a-4099-9de1-7f39db9f7131
Directive Oiseaux - Natura 2000,908,DREAL2 - Aquitaine : Natura 2000 - Directive Oiseaux (Zones de protection spéciale),c99d86b1-c724-4f48-b37f-09fcdcfd000e
CORINE LAND COVER 2006,1245,CORINE Land Cover 2006,4e7ba858-260f-7f44-6192-653567187d6a
socio_economique - Part actifs occupés de 15-24 ans,746,GIP_INSEE - Aquitaine : Part des actifs occupés de 15-24 ans,58dd91d3-965d-4fb8-b70d-7b6b40087e26
socio_economique - Part actifs occupés de 55-64 ans,757,GIP_INSEE - Aquitaine : Part des actifs occupés de 55-64 ans,78765499-c831-47fc-a68e-eb9761937709
socio_economique - Part actifs occupés de 25-54 ans,786,GIP_INSEE - Aquitaine : Part des actifs occupés de 25-54 ans,b6bb36b9-183c-421f-8ea4-6749f5378653
socio_economique - 15 ans et + non scolarisés sans diplômes,789,GIP_INSEE - Aquitaine : Population de 15 ans et plus non scolarisés sans diplômes,08e8dd28-7b06-4580-a822-d6d8ce88c27b
ddt - Points de prélèvements d'eau pour l'irrigation agricole,1155,SMEGREG - - Prélèvement d'eau pour l'irrigation agricole de l'organisme unique de gestion collective Garonne aval - Dropt,e617f025-0808-4876-a192-1e32f03f0975
sidpc - Communes surveillées pour le moustique tigre en 2014,585,PREF_33 - Gironde : Communes suivies pour le Moustique Tigre,5c6feed8-1fa2-4a10-b0df-81f421a3c269
ddtm47 - Points de prélèvements d'eau pour l'irrigation agricole,1266,SMEGREG - - Prélèvement d'eau pour l'irrigation agricole de l'organisme unique de gestion collective Garonne aval - Dropt,e617f025-0808-4876-a192-1e32f03f0975
telespazio - Foyers de mortalités,101,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
icpe - Sites ICPE,289,ICPE ou sites de stockage souterrains générateurs de servitudes PM3 dans le cadre d'un PPRT dans la Vienne,fr-120066022-jdd-e5aa5d33-7ddc-4dc8-98b0-8f5cf48bc1ba
ifn - Dégâts IFN 2009,359,IFN - Massif landais : dégâts de tempête de janvier 2009,09c9893d-06db-4fdd-8ef8-00c3e9854488
ZNIEFF 1 modernisation,535,IGECOM - Landes : Programme de Modernisation des ZNIEFF 1,metadonne_znieff1
ZNIEFF 2 modernisation,536,IGECOM - Landes : Programme de Modernisation des ZNIEFF 2,metadonnee_znieff2
rpg - Registre parcellaire graphique,845,PREF_AQUITAINE - Dordogne : Registre Parcellaire Graphique,cbac13e6-e3ad-49e8-a4bf-2cb737b52f10
eau - Axes migrateurs amphihalins,873,Axes grands migrateurs amphihalins,f6898ed0-ee2e-11de-8442-001517506977
erdf - Poste électrique,1158,ERDF - Midi-Pyrénées : Poste électrique,b60fe85a-e548-4e1a-9248-fd7105500583
Réserves naturelles régionales,1542,CRALPC - Aquitaine : Réserves Naturelles Régionales (RNR),2994437c-a2f7-4d93-995d-ff15d502e514
onf - ONF : Parcelles forestières Aq Mp,1780,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
onf - ONF : Parcelles forestières,1787,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
dfci - Pistes forestières 40,841,LOGOSDIS471 - Lot-et-Garonne : Réseaux des pistes forestières de DFCI (Défense des Forêts contre l'Incendie),59fbdf2a-b45d-4c07-9adb-8ee17381929f
erdf - Appareil de coupure sous terrain moyenne tension,1149,ERDF - Aquitaine: appareil de coupure sous terrain moyenne tension,e8421c89-84c3-4f54-89f2-7fe46779bce7
erdf - Réseau aérien moyenne tension (15KV - 20Kv),1162,ERDF - Aquitaine : Réseau aérien moyenne tension (15kv - 20kv),14dfaafe-a10e-4fd5-9f50-f88695745f2e
erdf - Réseau enterré moyenne tension (15KV - 20Kv),1164,ERDF - Aquitaine: Réseau enterré moyenne tension (15kv - 20kv),60a9f83b-89b2-4085-bfad-e137158a379a
erdf - Appareil de coupure aérien moyenne tension,416,ERDF - Aquitaine: Appareil de coupure aérien moyenne tension,dbaaa045-6e55-4835-ba5a-4ae2f5f95c8a
socio_economique - Part des actifs 15-64 ans par rapport à la population totale,464,GIP_INSEE - Aquitaine : Part des actifs 15-64 ans par rapport à la population totale,293399e8-f8b6-43f1-af9e-14014983de0c
tigf - Postes de sectionnement et robinets de sécurité (TIGF),438,TIGF - Aquitaine : Postes de sectionnement et Robinets de sécurité,c11b0c91-4081-4d47-ba01-1f781347c383
erdf - Réseau enterré basse tension <=400V,936,ERDF - Aquitaine: Réseau enterré basse tension (&lt;=400V),dfd3c5fe-7ab1-4a9a-8ad1-f59020d1a964
erdf - Réseau aérien basse tension <=400V,1161,ERDF - Aquitaine: Réseau aérien basse tension (&lt;=400V),c0109b4d-7e43-4371-b6e5-66e4e4cfba5f
socio_economique - Part des 15-24 ans dans la population totale,550,GIP_INSEE - Aquitaine : Part des 15-24 ans dans la population totale,f9081bc8-dbb9-4dcd-bd4f-346fd948bbec
socio_economique - Part des actifs de 25-54 ans par rapport à la population des 25-54 ans,574,GIP_INSEE - Aquitaine : Part des actifs 25-54 ans par rapport à la population des 25-54 ans,0ca5890b-47fd-4146-a02b-1b1803de5392
socio_economique - Part des 55-64 ans dans la population totale,699,GIP_INSEE - Aquitaine : Part des 55-64 ans dans la population totale,a88fbc0f-33db-4680-ba8e-178999706d37
socio_economique - Part des actifs de 25-54 ans par rapport aux actifs de 15-64 ans,744,GIP_INSEE - Aquitaine : Part des actifs 25-54 ans par rapport aux actifs de 15-64 ans,555c3378-5d6f-4b35-809b-117b659c29b0
socio_economique - Part des actifs de 55-64 ans par rapport à la population des 55-64 ans,784,GIP_INSEE - Aquitaine : Part des actifs 55-64 ans par rapport à la population des 55-64 ans,63828b6a-235e-4095-a9a6-e1ce550ef5a5
socio_economique - Part des actifs de 55-64 ans par rapport aux actifs de 15-64 ans,1016,GIP_INSEE - Aquitaine : Part des actifs 55-64 ans par rapport aux actifs de 15-64 ans,c86234e7-d0ab-450a-9b84-de4f193b6a53
socio_economique - Part des actifs de 15-24 ans par rapport à la population des 15-24 ans,1042,GIP_INSEE - Aquitaine : Part des actifs 15-24 ans par rapport à la population des 15-24 ans,a97f4ae7-c957-4684-8510-7dd1e9140021
socio_economique - Part des 25-54 ans dans la population totale,1043,GIP_INSEE - Aquitaine : Part des 25-54 ans dans la population totale,90f3a432-acb4-4e86-9c64-1f37de64445c
socio_economique - Part des actifs de 15-24 ans par rapport aux actifs de 15-64 ans,1018,GIP_INSEE - Aquitaine : Part des actifs 15-24 ans par rapport à la population active des 15-64 ans,50e6dd83-922a-4099-9de1-7f39db9f7131
Directive Oiseaux - Natura 2000,908,DREAL2 - Aquitaine : Natura 2000 - Directive Oiseaux (Zones de protection spéciale),c99d86b1-c724-4f48-b37f-09fcdcfd000e
CORINE LAND COVER 2006,1245,CORINE Land Cover 2006,4e7ba858-260f-7f44-6192-653567187d6a
socio_economique - Part actifs occupés de 15-24 ans,746,GIP_INSEE - Aquitaine : Part des actifs occupés de 15-24 ans,58dd91d3-965d-4fb8-b70d-7b6b40087e26
socio_economique - Part actifs occupés de 55-64 ans,757,GIP_INSEE - Aquitaine : Part des actifs occupés de 55-64 ans,78765499-c831-47fc-a68e-eb9761937709
socio_economique - Part actifs occupés de 25-54 ans,786,GIP_INSEE - Aquitaine : Part des actifs occupés de 25-54 ans,b6bb36b9-183c-421f-8ea4-6749f5378653
socio_economique - 15 ans et + non scolarisés sans diplômes,789,GIP_INSEE - Aquitaine : Population de 15 ans et plus non scolarisés sans diplômes,08e8dd28-7b06-4580-a822-d6d8ce88c27b
ddt - Points de prélèvements d'eau pour l'irrigation agricole,1155,SMEGREG - - Prélèvement d'eau pour l'irrigation agricole de l'organisme unique de gestion collective Garonne aval - Dropt,e617f025-0808-4876-a192-1e32f03f0975
sidpc - Communes surveillées pour le moustique tigre en 2014,585,PREF_33 - Gironde : Communes suivies pour le Moustique Tigre,5c6feed8-1fa2-4a10-b0df-81f421a3c269
ddtm47 - Points de prélèvements d'eau pour l'irrigation agricole,1266,SMEGREG - - Prélèvement d'eau pour l'irrigation agricole de l'organisme unique de gestion collective Garonne aval - Dropt,e617f025-0808-4876-a192-1e32f03f0975
telespazio - Foyers de mortalités,101,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
icpe - Sites ICPE,289,ICPE ou sites de stockage souterrains générateurs de servitudes PM3 dans le cadre d'un PPRT dans la Vienne,fr-120066022-jdd-e5aa5d33-7ddc-4dc8-98b0-8f5cf48bc1ba
ifn - Dégâts IFN 2009,359,IFN - Massif landais : dégâts de tempête de janvier 2009,09c9893d-06db-4fdd-8ef8-00c3e9854488
ZNIEFF 1 modernisation,535,IGECOM - Landes : Programme de Modernisation des ZNIEFF 1,metadonne_znieff1
ZNIEFF 2 modernisation,536,IGECOM - Landes : Programme de Modernisation des ZNIEFF 2,metadonnee_znieff2
rpg - Registre parcellaire graphique,845,PREF_AQUITAINE - Dordogne : Registre Parcellaire Graphique,cbac13e6-e3ad-49e8-a4bf-2cb737b52f10
eau - Axes migrateurs amphihalins,873,Axes grands migrateurs amphihalins,f6898ed0-ee2e-11de-8442-001517506977
erdf - Poste électrique,1158,ERDF - Midi-Pyrénées : Poste électrique,b60fe85a-e548-4e1a-9248-fd7105500583
Réserves naturelles régionales,1542,CRALPC - Aquitaine : Réserves Naturelles Régionales (RNR),2994437c-a2f7-4d93-995d-ff15d502e514
onf - ONF : Parcelles forestières Aq Mp,1780,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
onf - ONF : Parcelles forestières,1787,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
dfci - Pistes forestières 40,841,LOGOSDIS471 - Lot-et-Garonne : Réseaux des pistes forestières de DFCI (Défense des Forêts contre l'Incendie),59fbdf2a-b45d-4c07-9adb-8ee17381929f
